symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin
AOI,2015-06-30,True,Q1,2016,10-Q,266282000.0,-2904000.0,-25957000.0,-2.93,-2.93,0.0,1831686000.0,1427269000.0,660490000.0,20093000.0,175836000.0,-234053000.0,-6302000.0,260551000.0
AOI,2015-09-30,False,Q2,2016,10-Q,414853000.0,25647000.0,-21759000.0,-2.44,-2.44,0.0,1947690000.0,1559974000.0,788645000.0,,158499000.0,-358967000.0,-8091000.0,373607000.0
AOI,2015-03-31,True,FY,2015,10-K,2066865000.0,97969000.0,-26302000.0,-2.96,-2.96,0.0,1626646000.0,1217095000.0,584424000.0,-608000.0,197268000.0,-55223000.0,-11662000.0,-23436000.0
AOI,2015-12-31,False,Q3,2016,10-Q,491139000.0,38518000.0,11520000.0,1.3,1.3,0.0,1961629000.0,1577699000.0,776158000.0,,173761000.0,-345006000.0,-10893000.0,406079000.0
ABMD,2016-03-31,False,FY,2016,10-K,329543000.0,65104000.0,38147000.0,0.9,0.85,0.0,423931000.0,288392000.0,46541000.0,48231000.0,368775000.0,76795000.0,-57710000.0,7160000.0
AEO,2016-04-30,False,Q1,2016,10-Q,749416000.0,58676000.0,40476000.0,0.22,0.22,0.125,1596296000.0,729327000.0,418486000.0,238976000.0,1077308000.0,29869000.0,-25094000.0,-29114000.0
AM,2016-02-29,False,FY,2016,10-K,1889994000.0,219027000.0,129842000.0,,,0.0,1603449000.0,559868000.0,377940000.0,100893000.0,429294000.0,127369000.0,38176000.0,-103919000.0
UHAL,2016-03-31,False,FY,2016,10-K,3275656000.0,866814000.0,489001000.0,24.95,24.95,5.0,8150725000.0,,,600646000.0,2251406000.0,1041063000.0,-1273399000.0,406872000.0
AMAT,2016-05-01,False,Q2,2016,10-Q,2450000000.0,425000000.0,320000000.0,0.29,0.29,0.1,13075000000.0,6728000000.0,2611000000.0,2470000000.0,6565000000.0,688000000.0,-114000000.0,-2901000000.0
BBSI,2015-12-31,False,FY,2015,10-K,740841000.0,36428000.0,25494000.0,3.55,3.47,0.88,496777000.0,227009000.0,237393000.0,25218000.0,54551000.0,100631000.0,-55596000.0,-31361000.0
BURL,2016-04-30,False,Q1,2016,10-Q,1288884000.0,,37514000.0,0.53,0.52,0.0,2605901000.0,981490000.0,874909000.0,28100000.0,-105238000.0,30377000.0,-30342000.0,7150000.0
CSRA,2016-04-01,False,FY,2016,10-K,4250447000.0,562730000.0,87145000.0,0.54,0.53,0.2,4846300000.0,1004522000.0,1085739000.0,130016000.0,90238000.0,553516000.0,-1605319000.0,1176840000.0
